molecule_chembl_id,median_ic50_nM,n_measurements,min_ic50_nM,max_ic50_nM,pIC50,canonical_smiles,valid_smiles
CHEMBL1172855,10060.0,1,10060.0,10060.0,4.997402019280091,NC(=S)N1N=C(c2ccc(Br)c(Br)c2)CC1c1ccc(Br)cc1,True
CHEMBL1172877,26740.0,1,26740.0,26740.0,4.572838597074035,Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccccc1F,True
CHEMBL1172878,20810.0,1,20810.0,20810.0,4.681727919788373,Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccccc1Cl,True
CHEMBL1172915,5740.0,1,5740.0,5740.0,5.241088107602026,COc1ccc(C2CC(c3ccc(Cl)c(Cl)c3)=NN2C(N)=S)cc1,True
CHEMBL1172916,7380.0,1,7380.0,7380.0,5.131943638176958,Cc1ccc(C2CC(c3ccc(Cl)c(Cl)c3)=NN2C(N)=S)cc1,True
CHEMBL1172917,6850.0,1,6850.0,6850.0,5.164309428507575,NC(=S)N1N=C(c2ccc(Cl)c(Cl)c2)CC1c1ccc(Br)cc1,True
CHEMBL1172947,24320.0,1,24320.0,24320.0,4.614036429399302,Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccccc1Br,True
CHEMBL1172950,14530.0,1,14530.0,14530.0,4.837734385701978,Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1cccc([N+](=O)[O-])c1,True
CHEMBL1172951,12420.0,1,12420.0,12420.0,4.905878404159439,Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1cccc(F)c1,True
CHEMBL1172957,10000.0,1,10000.0,10000.0,5.0,NS(=O)(=O)c1ccc(Nc2nc(N3CCOCC3)nc3[nH]cnc23)cc1,True
CHEMBL1172980,7320.0,1,7320.0,7320.0,5.135488918941608,NC(=S)N1N=C(c2ccc(Cl)c(Cl)c2)CC1c1ccc(Cl)cc1,True
CHEMBL1173014,13870.0,1,13870.0,13870.0,4.857923538926715,COc1cccc(/C=C/C(=O)OCCn2c([N+](=O)[O-])cnc2C)c1,True
CHEMBL1173022,19730.0,1,19730.0,19730.0,4.704872914747809,CC(=O)N1N=C(c2ccc(C)c(C)c2)CC1c1ccc(Cl)cc1,True
CHEMBL1173023,20610.0,1,20610.0,20610.0,4.685922008220787,CC(=O)N1N=C(c2ccc(C)c(C)c2)CC1c1ccc(Br)cc1,True
CHEMBL1173105,17310.0,1,17310.0,17310.0,4.7617029321246065,COc1cc(OC)cc(C2CC(c3ccc(C)c(C)c3)=NN2C(C)=O)c1,True
CHEMBL1173191,10640.0,1,10640.0,10640.0,4.9730583720409705,NC(=S)N1N=C(c2ccc(Br)c(Br)c2)CC1c1ccc([N+](=O)[O-])cc1,True
CHEMBL1173192,11270.0,1,11270.0,11270.0,4.948076083953893,NC(=S)N1N=C(c2ccc(Br)c(Br)c2)CC1c1ccc(O)cc1,True
CHEMBL1173193,8090.0,1,8090.0,8090.0,5.092051478387727,COc1ccc(C2CC(c3ccc(Br)c(Br)c3)=NN2C(N)=S)cc1,True
CHEMBL1173248,16140.0,1,16140.0,16140.0,4.7920964696139485,CC(=O)N1N=C(c2ccc(Cl)c(Cl)c2)CC1c1ccc(Cl)cc1,True
CHEMBL1173249,18350.0,1,18350.0,18350.0,4.7363639314118915,CC(=O)N1N=C(c2ccc(Cl)c(Cl)c2)CC1c1ccc(F)cc1,True
CHEMBL1173250,10970.0,1,10970.0,10970.0,4.959793372425289,NC(=S)N1N=C(c2ccc(Br)c(Br)c2)CC1c1ccccc1Br,True
CHEMBL1173251,12260.0,1,12260.0,12260.0,4.911509529817604,NC(=S)N1N=C(c2ccc(Br)c(Br)c2)CC1c1ccccc1Cl,True
CHEMBL117326,560.0,1,560.0,560.0,6.251811972993799,C=C(CN(C)C)C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)c(C#N)cnc2cc1OCC,True
CHEMBL1173262,9830.0,1,9830.0,9830.0,5.007446482167865,Cc1ccc(C2CC(c3ccc(Br)c(Br)c3)=NN2C(N)=S)cc1,True
CHEMBL1173319,17490.0,1,17490.0,17490.0,4.757210190521324,CC(=O)N1N=C(c2ccc(C)c(C)c2)CC1c1ccc(C)cc1,True
