molecule_chembl_id,canonical_smiles,pIC50,MolWt,LogP,TPSA,HBD,HBA,RotatableBonds,RingCount,HeavyAtomCount
CHEMBL90541,COc1cc2ncnc(Nc3nnc4ccccc4n3)c2cc1OC,6.086186147616283,334.3390000000001,2.7288000000000006,94.94000000000001,1,8,4,4,25
CHEMBL90595,O=C(C#CCN1CCCCC1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7.244125144327507,464.36700000000013,4.563700000000003,70.15,2,5,4,4,30
CHEMBL91,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,4.533785052670012,416.1350000000001,6.454800000000002,27.05,0,2,6,3,25
CHEMBL91009,COCC#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,8.045757490560675,411.25900000000007,3.7242000000000015,76.14,2,5,4,3,26
CHEMBL91428,COc1cc2ncnc(Nc3cc4ccccc4cn3)c2cc1OC,6.180456064458131,332.3630000000001,3.9388000000000023,69.16000000000001,1,6,4,4,25
CHEMBL91484,COc1cc2ncnc(NC3CC3c3ccccc3)c2cc1OCCCN(C)C,7.568636235841012,392.50300000000027,3.936900000000003,59.51000000000001,1,6,9,4,29
CHEMBL91748,CN(C)/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,6.6020599913279625,412.29100000000005,4.149700000000002,70.15,2,5,5,3,26
CHEMBL91811,CC(C)N(C)CC#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7.070581074285707,452.3560000000001,4.418000000000004,70.15,2,5,5,3,29
CHEMBL91867,CC#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.431798275933003,381.23300000000006,4.0977000000000015,66.91,2,4,3,3,24
CHEMBL91914,O=[N+]([O-])c1ccc2c(Nc3ccccc3)ncnc2c1,4.920818753952375,266.26,3.281600000000001,80.95,1,5,3,3,20
CHEMBL91925,CCN(CC)C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7.136677139879544,454.3720000000001,4.972400000000004,70.15,2,5,8,3,29
CHEMBL91980,Nc1ccc2c(Nc3cccc(I)c3)ncnc2c1,9.455931955649724,362.17400000000004,3.560200000000001,63.83,2,4,2,3,19
CHEMBL92006,COc1cc2ncnc(/N=N/c3ccc(F)c(Cl)c3)c2cc1OC,6.136677139879544,346.7490000000001,4.854900000000002,68.96000000000001,0,6,4,3,24
CHEMBL92086,C=C(C)C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7.795880017344075,383.249,4.650500000000003,66.91,2,4,4,3,24
CHEMBL92174,COc1cc2ncnc(Nc3ccccc3Br)c2cc1OC,6.892790030352131,360.2110000000001,4.153100000000003,56.27000000000001,1,5,4,3,22
CHEMBL92356,CCN1CCN(CC#CC(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)CC1,7.187086643357144,493.4090000000002,3.715300000000002,73.39,2,6,5,4,32
CHEMBL92398,COc1ccc2c(Nc3ccccc3)ncnc2c1,6.920818753952375,251.28900000000004,3.3820000000000006,47.04,1,4,3,3,19
CHEMBL926,CC(CCc1ccc(O)cc1)NCCc1ccc(O)c(O)c1,5.255628772668139,301.386,2.956800000000002,72.72,4,4,7,2,22
CHEMBL92709,COc1cc2ncnc(Nc3cc(Br)cc(Br)c3)c2cc1OC,6.94692155651658,439.10700000000014,4.915600000000002,56.27000000000001,1,5,4,3,23
CHEMBL92731,CCCN(C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1)CCC,7.045757490560675,482.42600000000016,5.752600000000005,70.15,2,5,10,3,31
CHEMBL92812,CNc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,8.259637310505756,329.201,4.177600000000002,49.84,2,4,3,3,20
CHEMBL92824,FC(F)(F)c1cccc(Nc2ncnc3ccccc23)c1,6.238824186844269,289.26000000000005,4.392200000000002,37.81,1,3,2,3,21
CHEMBL92825,Ic1cccc(Nc2ncnc3ccccc23)c1,7.096910013008056,347.1590000000001,3.9780000000000015,37.81,1,3,2,3,18
CHEMBL92882,COC/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,5.946153573147747,413.2750000000001,4.277000000000003,76.14,2,5,6,3,26
CHEMBL92902,CN1CCC=C(C(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)C1,6.939302159646388,438.3290000000001,4.336300000000002,70.15,2,5,4,4,28
CHEMBL92936,CNc1cc2ncnc(Nc3cccc(Br)c3)c2cc1[N+](=O)[O-],7.167491087293763,374.19800000000015,4.085800000000002,92.98,2,6,4,3,23
CHEMBL92937,CNc1cc2ncnc(Nc3cccc(Br)c3)c2cc1N,9.161150909262744,344.2160000000001,3.759800000000001,75.86,3,5,3,3,21
CHEMBL92961,CC(C)N(CC#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1)C(C)C,7.013228265733755,480.41000000000014,5.196600000000004,70.15,2,5,6,3,31
CHEMBL92985,Fc1cccc(Nc2ncnc3ccccc23)c1,7.251811972993799,239.25300000000004,3.512500000000001,37.81,1,3,2,3,18
CHEMBL93032,Oc1cc2ncnc(Nc3cccc(Br)c3)c2cc1O,9.769551078621726,332.1570000000001,3.5471000000000017,78.27000000000001,3,5,2,3,20
CHEMBL93049,COCOCC#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7.229147988357855,441.2850000000001,3.6983000000000015,85.37,2,6,6,3,28
CHEMBL93051,Brc1cccc(Nc2ncnc3cc4c(cc23)OCO4)c1,7.823908740944319,344.1680000000001,3.864600000000001,56.27000000000001,1,5,2,4,21
CHEMBL93173,COc1cc2ncnc(NCc3cccc(C)c3)c2cc1OC,6.769551078621726,309.3690000000001,3.5675200000000027,56.27000000000001,1,5,5,3,23
CHEMBL93181,COc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,8.0,330.18500000000006,4.1445000000000025,47.04,1,4,3,3,20
CHEMBL93284,O=[N+]([O-])c1ccc2c(Nc3cccc(I)c3)ncnc2c1,6.267606240177031,392.156,3.8862000000000014,80.95,1,5,3,3,21
CHEMBL93295,COc1cc2nc(N)nc(Nc3cccc(Br)c3)c2cc1OC,6.334419008982047,375.22600000000017,3.7353000000000014,82.29,2,6,4,3,23
CHEMBL93302,Oc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,8.327902142064282,316.158,3.841500000000001,58.04,2,4,2,3,19
CHEMBL93386,O=C(C#CCN1CCOCC1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7.698970004336019,466.3390000000001,3.410000000000001,79.38,2,6,4,4,30
CHEMBL93423,COc1cc2ncnc(NC3CC3c3ccccc3)c2cc1O,6.4089353929735005,307.35300000000007,3.3120000000000016,67.27000000000001,2,5,4,4,23
